"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.PorphyromonadaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Porphyromonas",566.546245740795,197.551164431898,203.456183751964,96.5739099443835,1.61066399170624,386.154784548833,50.2225447508466,106.740663185819,178.756999544906,143.726557773745,4.80848276271696,494.495851401647,287.917419415716,98.9028644691661,219.97578032654,183.797739921137,25.8557756762548,685.7146804539,73.7742444396325,275.064933026782,45.7358269658206,136.727885033072,295.081712374773,55.2436529039858
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Tannerella",12.2131450387947,0,2.37635204680475,25.8011873610759,0,11.0675045546112,1.52394775036284,3.08166761329291,2.77013791329468,16.9177253478524,0,21.2602861337795,2.6695970638364,0,1.1922483419232,6.04990479160913,0.40948061025743,1.76587496520443,7.50842948618802,27.6445985922677,2.70850402098907,6.20065472751781,1.36019965140026,9.90000578788426
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae",1022.50964735827,2132.06069160198,466.927896856209,1245.07141986251,2070.93384902158,800.174961275773,1418.10111272375,1388.76229188479,1344.01551277231,279.513006654567,1514.76245527018,718.033598524943,1041.30798461148,1445.45688682848,690.621774542433,633.342393858859,829.377905834979,1108.10982299291,505.663222693105,1478.42104850164,966.271673712475,833.64009691042,853.543417249016,2037.35160035
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Hallella",0,0,0,0,0,0,3.36961780358007,0,0,0,0,7.67832143954656,0,0,0,0,0,0,0,0,0,0,0.453399883800087,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Paraprevotella",0,0,0,0,0,0,5.07982583454282,0,0,0,0,0,0,0,0,0,0,0.290133614972737,0,0.714067122309497,0.374231989083118,0,0,0.767405359580821
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella",960.060963093724,2118.32745236415,454.71749219018,1225.45792183675,2055.26154546183,776.789942134367,1381.72955974843,1326.10703947774,1197.72452957122,255.650332728373,1505.86856985944,639.338272953871,1017.9283690885,1385.92866560255,662.621822232366,600.282163711794,793.21408255153,1061.12966874621,486.050360379868,1361.19633707107,909.701830662698,792.266870877165,786.485574434983,1735.22268033515
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.PrevotellaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae",0,0,0,0,0,0,0,0,2.77013791329468,0,0.602566762245233,0,0,0,0,0,0,2.14913788868694,31.9392458316578,0.737607796671349,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes",0,0,0,0,0,0,0,0,2.77013791329468,0,0.602566762245233,0,0,0,0,0,0,2.14913788868694,31.9392458316578,0.392344572697526,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.RikenellaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria",253.24315448089,88.9202540578687,178.959533397136,88.6300329197265,25.3362875099859,235.900769669099,82.9535558780842,54.2884450010151,77.5638615722511,230.771324863884,212.103500310322,158.340731382525,70.1113249497239,46.8799577583847,228.315557478293,125.971668489703,33.4228102188692,130.739221561789,156.962446252359,69.4449893674621,121.611362752423,31.3481027680375,75.6543046108825,81.9789116734816
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales",253.24315448089,88.9202540578687,178.959533397136,88.6300329197265,25.3362875099859,235.900769669099,82.9535558780842,54.2884450010151,77.5638615722511,230.771324863884,212.103500310322,158.340731382525,70.1113249497239,46.8799577583847,228.315557478293,125.971668489703,33.4228102188692,130.739221561789,156.962446252359,69.4449893674621,121.611362752423,31.3481027680375,75.6543046108825,81.9789116734816
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae",253.234174227185,88.9202540578687,178.833131692519,88.6300329197265,25.3362875099859,235.900769669099,82.9535558780842,54.2884450010151,77.5638615722511,230.750151240169,212.103500310322,158.340731382525,70.1113249497239,46.8799577583847,228.315557478293,125.971668489703,33.4228102188692,130.739221561789,156.951619389365,69.4449893674621,121.611362752423,31.3481027680375,75.6497706120445,81.9789116734816
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.Capnocytophaga",248.232172913502,69.1107974594213,60.6728182162914,82.0648452960431,21.7168178657022,206.644916893394,67.7310111272375,39.8860398860399,74.3505015928293,220.5444646098,206.680399450115,151.164339126575,55.0432384296164,44.0824195919712,216.393074059061,110.306189893555,26.2568995393642,114.978877044751,120.129458347511,65.5176201947599,116.376792805123,26.9593683805122,29.4301864574636,73.8806402080915
